brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination,crawl_date
Bamboo Airways,2.361.316 VND/khách,05:25,30 thg 4,30 thg 4,07:35,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
Bamboo Airways,2.361.316 VND/khách,10:40,30 thg 4,30 thg 4,12:50,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
Bamboo Airways,2.361.316 VND/khách,21:05,30 thg 4,30 thg 4,23:15,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
VietJet Air,2.387.018 VND/khách,13:10,30 thg 4,30 thg 4,15:20,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,2.387.018 VND/khách,20:00,30 thg 4,30 thg 4,22:10,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,2.391.008 VND/khách,22:10,30 thg 4,01 thg 5,00:20,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
Vietnam Airlines,2.436.792 VND/khách,14:30,30 thg 4,30 thg 4,16:35,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
Vietnam Airlines,2.436.792 VND/khách,16:00,30 thg 4,30 thg 4,18:05,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
Vietnam Airlines,2.436.792 VND/khách,16:40,30 thg 4,30 thg 4,18:45,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
Vietnam Airlines,2.436.792 VND/khách,16:45,30 thg 4,30 thg 4,18:50,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
Vietnam Airlines,2.436.792 VND/khách,18:00,30 thg 4,30 thg 4,20:05,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
Vietnam Airlines,2.436.792 VND/khách,19:00,30 thg 4,30 thg 4,21:05,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
Vietnam Airlines,2.436.792 VND/khách,19:35,30 thg 4,30 thg 4,21:40,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
Vietnam Airlines,2.436.792 VND/khách,20:00,30 thg 4,30 thg 4,22:05,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
Vietnam Airlines,2.436.792 VND/khách,20:30,30 thg 4,30 thg 4,22:35,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
Vietnam Airlines,2.436.792 VND/khách,21:00,30 thg 4,30 thg 4,23:05,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
Vietnam Airlines,2.436.792 VND/khách,22:00,30 thg 4,01 thg 5,00:05,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
Vietnam Airlines,2.436.792 VND/khách,23:00,30 thg 4,01 thg 5,01:05,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
Vietnam Airlines,2.436.792 VND/khách,16:15,30 thg 4,30 thg 4,18:25,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
Vietnam Airlines,2.436.792 VND/khách,17:00,30 thg 4,30 thg 4,19:10,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
Vietravel Airlines,2.535.645 VND/khách,05:45,30 thg 4,30 thg 4,07:55,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
VietJet Air,2.586.518 VND/khách,14:05,30 thg 4,30 thg 4,16:10,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,2.586.518 VND/khách,20:05,30 thg 4,30 thg 4,22:10,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,2.586.518 VND/khách,07:30,30 thg 4,30 thg 4,09:40,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,2.586.518 VND/khách,16:05,30 thg 4,30 thg 4,18:15,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,2.586.518 VND/khách,16:50,30 thg 4,30 thg 4,19:00,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,2.586.518 VND/khách,21:00,30 thg 4,30 thg 4,23:10,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,2.588.513 VND/khách,15:25,30 thg 4,30 thg 4,17:35,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
